Monitoring Location ID	Activity ID	Activity Type	Activity Start Date	Activity Start Time	Sample Collection Method ID	Sample Collection Equipment Name	Sample Collection Equipment Comment	Characteristic Name	Method Speciation	Result Detection Condition	Result Value	Result Unit	Result Sample Fraction	Result Analytical Method ID	Result Analytical Method Context	Result Detection Limit Type	Result Detection Limit Value	Result Detection Limit Unit
RPO	RPO180109:FM:PS:PH:	Field Msr/Obs	01/09/2018	08:47	1002	Probe/Sensor	HACH PHC101	pH			8.16	None		8156	HACH			
RPO	RPO180109:FM:PS:TS:	Field Msr/Obs	01/09/2018	08:47	1002	Probe/Sensor	HACH CDC401	Salinity			33.9	ppt		8160	HACH			
RPO	RPO180109:SR:WB:	Sample-Routine	01/09/2018	08:47	1002	Water Bottle		Total Nitrogen, mixed forms	as N		143.16	ug/l	Filtered, field	4500-N	APHA			
RPO	RPO180109:SR:WB:	Sample-Routine	01/09/2018	08:47	1002	Water Bottle		Total Phosphorus, mixed forms	as P		14.22	ug/l	Filtered, field	4500-P	APHA			
RPO	RPO180109:SR:WB:	Sample-Routine	01/09/2018	08:47	1002	Water Bottle		Orthophosphate	as P		10.12	ug/l	Filtered, field	365.5	USEPA			
RPO	RPO180109:SR:WB:	Sample-Routine	01/09/2018	08:47	1002	Water Bottle		Silicate			622.10	ug/l	Filtered, field	366	USEPA			
RPO	RPO180109:SR:WB:	Sample-Routine	01/09/2018	08:47	1002	Water Bottle		Nitrate + Nitrite	as N		63.70	ug/l	Filtered, field	353.4	USEPA			
RPO	RPO180109:SR:WB:	Sample-Routine	01/09/2018	08:47	1002	Water Bottle		Ammonium	as N		6.95	ug/l	Filtered, field	Ammonium-OPA	HUIWAIOLA_WQX			
KKP	KKP180109:FM:PS:TS:	Field Msr/Obs	01/09/2018	08:50	1002	Probe/Sensor	HACH CDC401	Temperature, water			23.8	deg C		2550	APHA			
KKP	KKP180109:FM:PS:DO:	Field Msr/Obs	01/09/2018	08:50	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			6.71	mg/l		8157	HACH			
KKP	KKP180109:FM:PS:DO:	Field Msr/Obs	01/09/2018	08:50	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			96.9	%		8157	HACH			
KKP	KKP180109:FM:WB:	Field Msr/Obs	01/09/2018	08:50	1002	Water Bottle	HACH 2100Q	Turbidity			20.23	NTU		180.1	USEPA			
KKP	KKP180109:FM:PS:PH:	Field Msr/Obs	01/09/2018	08:50	1002	Probe/Sensor	HACH PHC101	pH			8.15	None		8156	HACH			
KKP	KKP180109:FM:PS:TS:	Field Msr/Obs	01/09/2018	08:50	1002	Probe/Sensor	HACH CDC401	Salinity			34.9	ppt		8160	HACH			
KKP	KKP180109:SR:WB:	Sample-Routine	01/09/2018	08:50	1002	Water Bottle		Total Nitrogen, mixed forms	as N		123.51	ug/l	Filtered, field	4500-N	APHA			
KKP	KKP180109:SR:WB:	Sample-Routine	01/09/2018	08:50	1002	Water Bottle		Total Phosphorus, mixed forms	as P		15.25	ug/l	Filtered, field	4500-P	APHA			
KKP	KKP180109:SR:WB:	Sample-Routine	01/09/2018	08:50	1002	Water Bottle		Orthophosphate	as P		8.53	ug/l	Filtered, field	365.5	USEPA			
KKP	KKP180109:SR:WB:	Sample-Routine	01/09/2018	08:50	1002	Water Bottle		Silicate			307.46	ug/l	Filtered, field	366	USEPA			
KKP	KKP180109:SR:WB:	Sample-Routine	01/09/2018	08:50	1002	Water Bottle		Nitrate + Nitrite	as N		37.72	ug/l	Filtered, field	353.4	USEPA			
KKP	KKP180109:SR:WB:	Sample-Routine	01/09/2018	08:50	1002	Water Bottle		Ammonium	as N		5.08	ug/l	Filtered, field	Ammonium-OPA	HUIWAIOLA_WQX			
