Monitoring Location ID	Activity ID	Activity Type	Activity Start Date	Activity Start Time	Project ID 1	Project ID 2	Sample Collection Method ID	Sample Collection Equipment Name	Sample Collection Equipment Comment	Characteristic Name	Method Speciation	Result Detection Condition	Result Value	Result Unit	Result Sample Fraction	Result Analytical Method ID	Result Analytical Method Context	Result Detection Limit Type	Result Detection Limit Value	Result Detection Limit Unit
OPP	OPP220413:SR:WB:	Sample-Routine	04/13/2022	09:42	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Phosphorus, mixed forms	as P		5.91	ug/l	Filtered, field	4500-P	APHA			
OPP	OPP220413:SR:WB:	Sample-Routine	04/13/2022	09:42	HUI_PCHEM	EPABEACH	1002	Water Bottle		Orthophosphate	as P		3.69	ug/l	Filtered, field	365.5	USEPA			
OPP	OPP220413:SR:WB:	Sample-Routine	04/13/2022	09:42	HUI_PCHEM	EPABEACH	1002	Water Bottle		Silicate			187.43	ug/l	Filtered, field	366.0	USEPA			
OPP	OPP220413:SR:WB:	Sample-Routine	04/13/2022	09:42	HUI_PCHEM	EPABEACH	1002	Water Bottle		Nitrate + Nitrite	as N		2.32	ug/l	Filtered, field	353.4	USEPA			
OPP	OPP220413:SR:WB:	Sample-Routine	04/13/2022	09:42	HUI_PCHEM	EPABEACH	1002	Water Bottle		Ammonium	as N		3.02	ug/l	Filtered, field	Ammonium-OPA	HUIWAIOLA_WQX			
RHL	RHL220414:FM:PS:TS:	Field Msr/Obs	04/14/2022	08:00	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Temperature, water			24.1	deg C		2550	APHA			
RHL	RHL220414:FM:PS:DO:	Field Msr/Obs	04/14/2022	08:00	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			6.30	mg/l		8157	HACH			
RHL	RHL220414:FM:PS:DO:	Field Msr/Obs	04/14/2022	08:00	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			91.9	%		8157	HACH			
RHL	RHL220414:FM:WB:	Field Msr/Obs	04/14/2022	08:00	HUI_PCHEM	EPABEACH	1002	Water Bottle	HACH 2100Q	Turbidity			2.25	NTU		180.1	USEPA			
RHL	RHL220414:FM:PS:PH:	Field Msr/Obs	04/14/2022	08:00	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH PHC101	pH			8.14	None		8156	HACH			
