Monitoring Location ID	Activity ID	Activity Type	Activity Start Date	Activity Start Time	Sample Collection Method ID	Sample Collection Equipment Name	Sample Collection Equipment Comment	Characteristic Name	Method Speciation	Result Detection Condition	Result Value	Result Unit	Result Sample Fraction	Result Analytical Method ID	Result Analytical Method Context	Result Detection Limit Type	Result Detection Limit Value	Result Detection Limit Unit
RAB	RAB160614:SR:WB:	Sample-Routine	06/14/2016	09:15	1002	Water Bottle		Nitrate + Nitrite	as N		24.72	ug/l	Filtered, field	353.4	USEPA			
RAB	RAB160614:SR:WB:	Sample-Routine	06/14/2016	09:15	1002	Water Bottle		Ammonium	as N		1.88	ug/l	Filtered, field	350.1	USEPA			
RCB	RCB160614:FM:PS:TS:	Field Msr/Obs	06/14/2016	09:50	1002	Probe/Sensor	HACH CDC401	Temperature, water			27.2	deg C		2550	APHA			
RCB	RCB160614:FM:PS:DO:	Field Msr/Obs	06/14/2016	09:50	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			6.78	mg/l		8157	HACH			
RCB	RCB160614:FM:PS:DO:	Field Msr/Obs	06/14/2016	09:50	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			103.5	%		8157	HACH			
RCB	RCB160614:FM:WB:	Field Msr/Obs	06/14/2016	09:50	1002	Water Bottle	HACH 2100Q	Turbidity			5.86	NTU		180.1	USEPA			
RCB	RCB160614:FM:PS:PH:	Field Msr/Obs	06/14/2016	09:50	1002	Probe/Sensor	HACH PHC101	pH			8.06	None		8156	HACH			
RCB	RCB160614:FM:PS:TS:	Field Msr/Obs	06/14/2016	09:50	1002	Probe/Sensor	HACH CDC401	Salinity			34.7	ppt		8160	HACH			
RCB	RCB160614:SR:WB:	Sample-Routine	06/14/2016	09:50	1002	Water Bottle		Total Nitrogen, mixed forms	as N		117.22	ug/l	Filtered, field	4500-N	APHA			
RCB	RCB160614:SR:WB:	Sample-Routine	06/14/2016	09:50	1002	Water Bottle		Total Phosphorus, mixed forms	as P		16.68	ug/l	Filtered, field	4500-P	APHA			
RCB	RCB160614:SR:WB:	Sample-Routine	06/14/2016	09:50	1002	Water Bottle		Orthophosphate	as P		9.40	ug/l	Filtered, field	365.5	USEPA			
