Monitoring Location ID	Activity ID	Activity Type	Activity Start Date	Activity Start Time	Project ID 1	Project ID 2	Sample Collection Method ID	Sample Collection Equipment Name	Sample Collection Equipment Comment	Characteristic Name	Method Speciation	Result Detection Condition	Result Value	Result Unit	Result Sample Fraction	Result Analytical Method ID	Result Analytical Method Context	Result Detection Limit Type	Result Detection Limit Value	Result Detection Limit Unit
OCO	OCO230322:SR:WB:	Sample-Routine	03/22/2023	09:36	HUI_PCHEM	EPABEACH	1002	Water Bottle		Nitrate + Nitrite	as N		6.63	ug/l	Filtered, field	353.4	USEPA			
OCO	OCO230322:SR:WB:	Sample-Routine	03/22/2023	09:36	HUI_PCHEM	EPABEACH	1002	Water Bottle		Ammonium	as N		6.96	ug/l	Filtered, field	Ammonium-OPA	HUIWAIOLA_WQX			
OPP	OPP230322:FM:PS:TS:	Field Msr/Obs	03/22/2023	09:57	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Temperature, water			26.1	deg C		2550	APHA			
OPP	OPP230322:FM:PS:DO:	Field Msr/Obs	03/22/2023	09:57	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			6.79	mg/l		8157	HACH			
OPP	OPP230322:FM:PS:DO:	Field Msr/Obs	03/22/2023	09:57	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			102.6	%		8157	HACH			
OPP	OPP230322:FM:WB:	Field Msr/Obs	03/22/2023	09:57	HUI_PCHEM	EPABEACH	1002	Water Bottle	HACH 2100Q	Turbidity			7.02	NTU		180.1	USEPA			
OPP	OPP230322:FM:PS:PH:	Field Msr/Obs	03/22/2023	09:57	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH PHC101	pH			8.13	None		8156	HACH			
OPP	OPP230322:FM:PS:TS:	Field Msr/Obs	03/22/2023	09:57	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Salinity			36.9	ppt		8160	HACH			
OPP	OPP230322:SR:WB:	Sample-Routine	03/22/2023	09:57	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Nitrogen, mixed forms	as N		65.14	ug/l	Filtered, field	4500-N	APHA			
OPP	OPP230322:SR:WB:	Sample-Routine	03/22/2023	09:57	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Phosphorus, mixed forms	as P		7.92	ug/l	Filtered, field	4500-P	APHA			
OPP	OPP230322:SR:WB:	Sample-Routine	03/22/2023	09:57	HUI_PCHEM	EPABEACH	1002	Water Bottle		Orthophosphate	as P		2.82	ug/l	Filtered, field	365.5	USEPA			
OPP	OPP230322:SR:WB:	Sample-Routine	03/22/2023	09:57	HUI_PCHEM	EPABEACH	1002	Water Bottle		Silicate			104.21	ug/l	Filtered, field	366.0	USEPA			
OPP	OPP230322:SR:WB:	Sample-Routine	03/22/2023	09:57	HUI_PCHEM	EPABEACH	1002	Water Bottle		Nitrate + Nitrite	as N		2.37	ug/l	Filtered, field	353.4	USEPA			
OPP	OPP230322:SR:WB:	Sample-Routine	03/22/2023	09:57	HUI_PCHEM	EPABEACH	1002	Water Bottle		Ammonium	as N		7.30	ug/l	Filtered, field	Ammonium-OPA	HUIWAIOLA_WQX			
RHL	RHL230323:FM:PS:TS:	Field Msr/Obs	03/23/2023	08:20	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Temperature, water			23.9	deg C		2550	APHA			
