Monitoring Location ID	Activity ID	Activity Type	Activity Start Date	Activity Start Time	Project ID 1	Project ID 2	Sample Collection Method ID	Sample Collection Equipment Name	Sample Collection Equipment Comment	Characteristic Name	Method Speciation	Result Detection Condition	Result Value	Result Unit	Result Sample Fraction	Result Analytical Method ID	Result Analytical Method Context	Result Detection Limit Type	Result Detection Limit Value	Result Detection Limit Unit
RPO	RPO211228:SR:WB:	Sample-Routine	12/28/2021	09:22	HUI_PCHEM	EPABEACH	1002	Water Bottle		Silicate			1914.53	ug/l	Filtered, field	366.0	USEPA			
RPO	RPO211228:SR:WB:	Sample-Routine	12/28/2021	09:22	HUI_PCHEM	EPABEACH	1002	Water Bottle		Nitrate + Nitrite	as N		157.28	ug/l	Filtered, field	353.4	USEPA			
RPO	RPO211228:SR:WB:	Sample-Routine	12/28/2021	09:22	HUI_PCHEM	EPABEACH	1002	Water Bottle		Ammonium	as N		2.99	ug/l	Filtered, field	Ammonium-OPA	HUIWAIOLA_WQX			
RKS	RKS211228:FM:PS:TS:	Field Msr/Obs	12/28/2021	09:47	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Temperature, water			23.9	deg C		2550	APHA			
RKS	RKS211228:FM:PS:DO:	Field Msr/Obs	12/28/2021	09:47	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			6.96	mg/l		8157	HACH			
RKS	RKS211228:FM:PS:DO:	Field Msr/Obs	12/28/2021	09:47	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			101.4	%		8157	HACH			
RKS	RKS211228:FM:WB:	Field Msr/Obs	12/28/2021	09:47	HUI_PCHEM	EPABEACH	1002	Water Bottle	HACH 2100Q	Turbidity			3.81	NTU		180.1	USEPA			
RKS	RKS211228:FM:PS:PH:	Field Msr/Obs	12/28/2021	09:47	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH PHC101	pH			8.13	None		8156	HACH			
RKS	RKS211228:FM:PS:TS:	Field Msr/Obs	12/28/2021	09:47	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Salinity			35.2	ppt		8160	HACH			
RKS	RKS211228:SR:WB:	Sample-Routine	12/28/2021	09:47	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Nitrogen, mixed forms	as N		78.64	ug/l	Filtered, field	4500-N	APHA			
RKS	RKS211228:SR:WB:	Sample-Routine	12/28/2021	09:47	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Phosphorus, mixed forms	as P		22.49	ug/l	Filtered, field	4500-P	APHA			
RKS	RKS211228:SR:WB:	Sample-Routine	12/28/2021	09:47	HUI_PCHEM	EPABEACH	1002	Water Bottle		Orthophosphate	as P		12.67	ug/l	Filtered, field	365.5	USEPA			
RKS	RKS211228:SR:WB:	Sample-Routine	12/28/2021	09:47	HUI_PCHEM	EPABEACH	1002	Water Bottle		Silicate			186.48	ug/l	Filtered, field	366.0	USEPA			
RKS	RKS211228:SR:WB:	Sample-Routine	12/28/2021	09:47	HUI_PCHEM	EPABEACH	1002	Water Bottle		Nitrate + Nitrite	as N		2.56	ug/l	Filtered, field	353.4	USEPA			
RKS	RKS211228:SR:WB:	Sample-Routine	12/28/2021	09:47	HUI_PCHEM	EPABEACH	1002	Water Bottle		Ammonium	as N		1.09	ug/l	Filtered, field	Ammonium-OPA	HUIWAIOLA_WQX			
RKT	RKT211228:FM:PS:TS:	Field Msr/Obs	12/28/2021	10:17	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Temperature, water			24.5	deg C		2550	APHA			
RKT	RKT211228:FM:PS:DO:	Field Msr/Obs	12/28/2021	10:17	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			6.99	mg/l		8157	HACH			
RKT	RKT211228:FM:PS:DO:	Field Msr/Obs	12/28/2021	10:17	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			103.0	%		8157	HACH			
RKT	RKT211228:FM:WB:	Field Msr/Obs	12/28/2021	10:17	HUI_PCHEM	EPABEACH	1002	Water Bottle	HACH 2100Q	Turbidity			2.34	NTU		180.1	USEPA			
RKT	RKT211228:FM:PS:PH:	Field Msr/Obs	12/28/2021	10:17	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH PHC101	pH			8.14	None		8156	HACH			
RKT	RKT211228:FM:PS:TS:	Field Msr/Obs	12/28/2021	10:17	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Salinity			35.4	ppt		8160	HACH			
RKT	RKT211228:SR:WB:	Sample-Routine	12/28/2021	10:17	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Nitrogen, mixed forms	as N		79.33	ug/l	Filtered, field	4500-N	APHA			
RKT	RKT211228:SR:WB:	Sample-Routine	12/28/2021	10:17	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Phosphorus, mixed forms	as P		9.10	ug/l	Filtered, field	4500-P	APHA			
RKT	RKT211228:SR:WB:	Sample-Routine	12/28/2021	10:17	HUI_PCHEM	EPABEACH	1002	Water Bottle		Orthophosphate	as P		4.56	ug/l	Filtered, field	365.5	USEPA			
RKT	RKT211228:SR:WB:	Sample-Routine	12/28/2021	10:17	HUI_PCHEM	EPABEACH	1002	Water Bottle		Silicate			119.81	ug/l	Filtered, field	366.0	USEPA			
RKT	RKT211228:SR:WB:	Sample-Routine	12/28/2021	10:17	HUI_PCHEM	EPABEACH	1002	Water Bottle		Nitrate + Nitrite	as N		3.69	ug/l	Filtered, field	353.4	USEPA			
RKT	RKT211228:SR:WB:	Sample-Routine	12/28/2021	10:17	HUI_PCHEM	EPABEACH	1002	Water Bottle		Ammonium	as N		1.01	ug/l	Filtered, field	Ammonium-OPA	HUIWAIOLA_WQX			
RCB	RCB211228:FM:PS:TS:	Field Msr/Obs	12/28/2021	10:37	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Temperature, water			25.1	deg C		2550	APHA			
RCB	RCB211228:FM:PS:DO:	Field Msr/Obs	12/28/2021	10:37	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			6.95	mg/l		8157	HACH			
RCB	RCB211228:FM:PS:DO:	Field Msr/Obs	12/28/2021	10:37	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			103.3	%		8157	HACH			
RCB	RCB211228:FM:WB:	Field Msr/Obs	12/28/2021	10:37	HUI_PCHEM	EPABEACH	1002	Water Bottle	HACH 2100Q	Turbidity			1.48	NTU		180.1	USEPA			
RCB	RCB211228:FM:PS:PH:	Field Msr/Obs	12/28/2021	10:37	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH PHC101	pH			8.15	None		8156	HACH			
