Monitoring Location ID	Activity ID	Activity Type	Activity Start Date	Activity Start Time	Sample Collection Method ID	Sample Collection Equipment Name	Sample Collection Equipment Comment	Characteristic Name	Method Speciation	Result Detection Condition	Result Value	Result Unit	Result Sample Fraction	Result Analytical Method ID	Result Analytical Method Context	Result Detection Limit Type	Result Detection Limit Value	Result Detection Limit Unit
KCP	KCP201103:SR:WB:	Sample-Routine	11/03/2020	08:52	1002	Water Bottle		Ammonium	as N		41.91	ug/l	Filtered, field	Ammonium-OPA	HUIWAIOLA_WQX			
WKD	WKD201104:FM:PS:TS:	Field Msr/Obs	11/04/2020	07:54	1002	Probe/Sensor	HACH CDC401	Temperature, water			27.1	deg C		2550	APHA			
WKD	WKD201104:FM:PS:DO:	Field Msr/Obs	11/04/2020	07:54	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			6.54	mg/l		8157	HACH			
WKD	WKD201104:FM:PS:DO:	Field Msr/Obs	11/04/2020	07:54	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			99.9	%		8157	HACH			
WKD	WKD201104:FM:WB:	Field Msr/Obs	11/04/2020	07:54	1002	Water Bottle	HACH 2100Q	Turbidity			0.86	NTU		180.1	USEPA			
WKD	WKD201104:FM:PS:PH:	Field Msr/Obs	11/04/2020	07:54	1002	Probe/Sensor	HACH PHC101	pH			8.12	None		8156	HACH			
WKD	WKD201104:FM:PS:TS:	Field Msr/Obs	11/04/2020	07:54	1002	Probe/Sensor	HACH CDC401	Salinity			35.1	ppt		8160	HACH			
WKD	WKD201104:SR:WB:	Sample-Routine	11/04/2020	07:54	1002	Water Bottle		Total Nitrogen, mixed forms	as N		100.77	ug/l	Filtered, field	4500-N	APHA			
WKD	WKD201104:SR:WB:	Sample-Routine	11/04/2020	07:54	1002	Water Bottle		Total Phosphorus, mixed forms	as P		8.40	ug/l	Filtered, field	4500-P	APHA			
WKD	WKD201104:SR:WB:	Sample-Routine	11/04/2020	07:54	1002	Water Bottle		Orthophosphate	as P		5.12	ug/l	Filtered, field	365.5	USEPA			
