Monitoring Location ID	Activity ID	Activity Type	Activity Start Date	Activity Start Time	Sample Collection Method ID	Sample Collection Equipment Name	Sample Collection Equipment Comment	Characteristic Name	Method Speciation	Result Detection Condition	Result Value	Result Unit	Result Sample Fraction	Result Analytical Method ID	Result Analytical Method Context	Result Detection Limit Type	Result Detection Limit Value	Result Detection Limit Unit
WKD	WKD200923:SR:WB:	Sample-Routine	09/23/2020	07:56	1002	Water Bottle		Ammonium	as N		3.40	ug/l	Filtered, field	Ammonium-OPA	HUIWAIOLA_WQX			
WKB	WKB200923:FM:PS:TS:	Field Msr/Obs	09/23/2020	08:12	1002	Probe/Sensor	HACH CDC401	Temperature, water			27.3	deg C		2550	APHA			
WKB	WKB200923:FM:PS:DO:	Field Msr/Obs	09/23/2020	08:12	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			6.61	mg/l		8157	HACH			
WKB	WKB200923:FM:PS:DO:	Field Msr/Obs	09/23/2020	08:12	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			101.2	%		8157	HACH			
WKB	WKB200923:FM:WB:	Field Msr/Obs	09/23/2020	08:12	1002	Water Bottle	HACH 2100Q	Turbidity			0.87	NTU		180.1	USEPA			
WKB	WKB200923:FM:PS:PH:	Field Msr/Obs	09/23/2020	08:12	1002	Probe/Sensor	HACH PHC101	pH			8.12	None		8156	HACH			
WKB	WKB200923:FM:PS:TS:	Field Msr/Obs	09/23/2020	08:12	1002	Probe/Sensor	HACH CDC401	Salinity			35.2	ppt		8160	HACH			
WKB	WKB200923:SR:WB:	Sample-Routine	09/23/2020	08:12	1002	Water Bottle		Total Nitrogen, mixed forms	as N		96.02	ug/l	Filtered, field	4500-N	APHA			
WKB	WKB200923:SR:WB:	Sample-Routine	09/23/2020	08:12	1002	Water Bottle		Total Phosphorus, mixed forms	as P		6.59	ug/l	Filtered, field	4500-P	APHA			
WKB	WKB200923:SR:WB:	Sample-Routine	09/23/2020	08:12	1002	Water Bottle		Orthophosphate	as P		3.17	ug/l	Filtered, field	365.5	USEPA			
WKB	WKB200923:SR:WB:	Sample-Routine	09/23/2020	08:12	1002	Water Bottle		Silicate			54.41	ug/l	Filtered, field	366	USEPA			
WKB	WKB200923:SR:WB:	Sample-Routine	09/23/2020	08:12	1002	Water Bottle		Nitrate + Nitrite	as N		8.49	ug/l	Filtered, field	353.4	USEPA			
WKB	WKB200923:SR:WB:	Sample-Routine	09/23/2020	08:12	1002	Water Bottle		Ammonium	as N		3.88	ug/l	Filtered, field	Ammonium-OPA	HUIWAIOLA_WQX			
WUL	WUL200923:FM:PS:TS:	Field Msr/Obs	09/23/2020	08:17	1002	Probe/Sensor	HACH CDC401	Temperature, water			27.2	deg C		2550	APHA			
WUL	WUL200923:FM:PS:DO:	Field Msr/Obs	09/23/2020	08:17	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			6.72	mg/l		8157	HACH			
WUL	WUL200923:FM:PS:DO:	Field Msr/Obs	09/23/2020	08:17	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			102.5	%		8157	HACH			
WUL	WUL200923:FM:WB:	Field Msr/Obs	09/23/2020	08:17	1002	Water Bottle	HACH 2100Q	Turbidity			1.47	NTU		180.1	USEPA			
WUL	WUL200923:FM:PS:PH:	Field Msr/Obs	09/23/2020	08:17	1002	Probe/Sensor	HACH PHC101	pH			8.11	None		8156	HACH			
WUL	WUL200923:FM:PS:TS:	Field Msr/Obs	09/23/2020	08:17	1002	Probe/Sensor	HACH CDC401	Salinity			35.0	ppt		8160	HACH			
WUL	WUL200923:SR:WB:	Sample-Routine	09/23/2020	08:17	1002	Water Bottle		Total Nitrogen, mixed forms	as N		120.08	ug/l	Filtered, field	4500-N	APHA			
WUL	WUL200923:SR:WB:	Sample-Routine	09/23/2020	08:17	1002	Water Bottle		Total Phosphorus, mixed forms	as P		6.66	ug/l	Filtered, field	4500-P	APHA			
WUL	WUL200923:SR:WB:	Sample-Routine	09/23/2020	08:17	1002	Water Bottle		Orthophosphate	as P		3.80	ug/l	Filtered, field	365.5	USEPA			
WUL	WUL200923:SR:WB:	Sample-Routine	09/23/2020	08:17	1002	Water Bottle		Silicate			120.62	ug/l	Filtered, field	366	USEPA			
WUL	WUL200923:SR:WB:	Sample-Routine	09/23/2020	08:17	1002	Water Bottle		Nitrate + Nitrite	as N		25.89	ug/l	Filtered, field	353.4	USEPA			
WUL	WUL200923:SR:WB:	Sample-Routine	09/23/2020	08:17	1002	Water Bottle		Ammonium	as N		6.25	ug/l	Filtered, field	Ammonium-OPA	HUIWAIOLA_WQX			
MMB	MMB200923:FM:PS:TS:	Field Msr/Obs	09/23/2020	08:47	1002	Probe/Sensor	HACH CDC401	Temperature, water			27.4	deg C		2550	APHA			
MMB	MMB200923:FM:PS:DO:	Field Msr/Obs	09/23/2020	08:47	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			6.70	mg/l		8157	HACH			
MMB	MMB200923:FM:PS:DO:	Field Msr/Obs	09/23/2020	08:47	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			102.8	%		8157	HACH			
MMB	MMB200923:FM:WB:	Field Msr/Obs	09/23/2020	08:47	1002	Water Bottle	HACH 2100Q	Turbidity			0.93	NTU		180.1	USEPA			
MMB	MMB200923:FM:PS:PH:	Field Msr/Obs	09/23/2020	08:47	1002	Probe/Sensor	HACH PHC101	pH			8.15	None		8156	HACH			
MMB	MMB200923:FM:PS:TS:	Field Msr/Obs	09/23/2020	08:47	1002	Probe/Sensor	HACH CDC401	Salinity			35.0	ppt		8160	HACH			
MMB	MMB200923:SR:WB:	Sample-Routine	09/23/2020	08:47	1002	Water Bottle		Total Nitrogen, mixed forms	as N		97.73	ug/l	Filtered, field	4500-N	APHA			
MMB	MMB200923:SR:WB:	Sample-Routine	09/23/2020	08:47	1002	Water Bottle		Total Phosphorus, mixed forms	as P		7.19	ug/l	Filtered, field	4500-P	APHA			
MMB	MMB200923:SR:WB:	Sample-Routine	09/23/2020	08:47	1002	Water Bottle		Orthophosphate	as P		3.73	ug/l	Filtered, field	365.5	USEPA			
MMB	MMB200923:SR:WB:	Sample-Routine	09/23/2020	08:47	1002	Water Bottle		Silicate			142.30	ug/l	Filtered, field	366	USEPA			
MMB	MMB200923:SR:WB:	Sample-Routine	09/23/2020	08:47	1002	Water Bottle		Nitrate + Nitrite	as N		12.78	ug/l	Filtered, field	353.4	USEPA			
MMB	MMB200923:SR:WB:	Sample-Routine	09/23/2020	08:47	1002	Water Bottle		Ammonium	as N		1.72	ug/l	Filtered, field	Ammonium-OPA	HUIWAIOLA_WQX			
MAN	MAN200923:FM:PS:TS:	Field Msr/Obs	09/23/2020	09:06	1002	Probe/Sensor	HACH CDC401	Temperature, water			27.2	deg C		2550	APHA			
MAN	MAN200923:FM:PS:DO:	Field Msr/Obs	09/23/2020	09:06	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			7.06	mg/l		8157	HACH			
MAN	MAN200923:FM:PS:DO:	Field Msr/Obs	09/23/2020	09:06	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			107.7	%		8157	HACH			
MAN	MAN200923:FM:WB:	Field Msr/Obs	09/23/2020	09:06	1002	Water Bottle	HACH 2100Q	Turbidity			0.67	NTU		180.1	USEPA			
MAN	MAN200923:FM:PS:PH:	Field Msr/Obs	09/23/2020	09:06	1002	Probe/Sensor	HACH PHC101	pH			8.07	None		8156	HACH			
MAN	MAN200923:FM:PS:TS:	Field Msr/Obs	09/23/2020	09:06	1002	Probe/Sensor	HACH CDC401	Salinity			34.9	ppt		8160	HACH			
MAN	MAN200923:SR:WB:	Sample-Routine	09/23/2020	09:06	1002	Water Bottle		Total Nitrogen, mixed forms	as N		102.96	ug/l	Filtered, field	4500-N	APHA			
MAN	MAN200923:SR:WB:	Sample-Routine	09/23/2020	09:06	1002	Water Bottle		Total Phosphorus, mixed forms	as P		7.16	ug/l	Filtered, field	4500-P	APHA			
MAN	MAN200923:SR:WB:	Sample-Routine	09/23/2020	09:06	1002	Water Bottle		Orthophosphate	as P		4.73	ug/l	Filtered, field	365.5	USEPA			
MAN	MAN200923:SR:WB:	Sample-Routine	09/23/2020	09:06	1002	Water Bottle		Silicate			337.78	ug/l	Filtered, field	366	USEPA			
MAN	MAN200923:SR:WB:	Sample-Routine	09/23/2020	09:06	1002	Water Bottle		Nitrate + Nitrite	as N		7.79	ug/l	Filtered, field	353.4	USEPA			
MAN	MAN200923:SR:WB:	Sample-Routine	09/23/2020	09:06	1002	Water Bottle		Ammonium	as N		6.08	ug/l	Filtered, field	Ammonium-OPA	HUIWAIOLA_WQX			
MAS	MAS200923:FM:PS:TS:	Field Msr/Obs	09/23/2020	09:23	1002	Probe/Sensor	HACH CDC401	Temperature, water			27.5	deg C		2550	APHA			
