Monitoring Location ID	Activity ID	Activity Type	Activity Start Date	Activity Start Time	Project ID 1	Project ID 2	Sample Collection Method ID	Sample Collection Equipment Name	Sample Collection Equipment Comment	Characteristic Name	Method Speciation	Result Detection Condition	Result Value	Result Unit	Result Sample Fraction	Result Analytical Method ID	Result Analytical Method Context	Result Detection Limit Type	Result Detection Limit Value	Result Detection Limit Unit
NMH	NMH250821:SR:WB:	Sample-Routine	08/21/2025	07:55	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Nitrogen, mixed forms	as N		143.77	ug/l	Filtered, field	4500-N	APHA			
NMH	NMH250821:SR:WB:	Sample-Routine	08/21/2025	07:55	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Phosphorus, mixed forms	as P		17.23	ug/l	Filtered, field	4500-P	APHA			
NMH	NMH250821:SR:WB:	Sample-Routine	08/21/2025	07:55	HUI_PCHEM	EPABEACH	1002	Water Bottle		Orthophosphate	as P		10.55	ug/l	Filtered, field	365.5	USEPA			
NMH	NMH250821:SR:WB:	Sample-Routine	08/21/2025	07:55	HUI_PCHEM	EPABEACH	1002	Water Bottle		Silicate			455.20	ug/l	Filtered, field	366.0	USEPA			
NMH	NMH250821:SR:WB:	Sample-Routine	08/21/2025	07:55	HUI_PCHEM	EPABEACH	1002	Water Bottle		Nitrate + Nitrite	as N		40.58	ug/l	Filtered, field	353.4	USEPA			
NMH	NMH250821:SR:WB:	Sample-Routine	08/21/2025	07:55	HUI_PCHEM	EPABEACH	1002	Water Bottle		Ammonium	as N		14.36	ug/l	Filtered, field	Ammonium-OPA	HUIWAIOLA_WQX			
NMC	NMC250821:FM:PS:TS:	Field Msr/Obs	08/21/2025	08:23	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Temperature, water			26.2	deg C		2550	APHA			
NMC	NMC250821:FM:PS:DO:	Field Msr/Obs	08/21/2025	08:23	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			7.77	mg/l		8157	HACH			
NMC	NMC250821:FM:PS:DO:	Field Msr/Obs	08/21/2025	08:23	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			115.7	%		8157	HACH			
NMC	NMC250821:FM:WB:	Field Msr/Obs	08/21/2025	08:23	HUI_PCHEM	EPABEACH	1002	Water Bottle	HACH 2100Q	Turbidity			2.08	NTU		180.1	USEPA			
NMC	NMC250821:FM:PS:PH:	Field Msr/Obs	08/21/2025	08:23	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH PHC101	pH			8.10	None		8156	HACH			
NMC	NMC250821:FM:PS:TS:	Field Msr/Obs	08/21/2025	08:23	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Salinity			34.3	ppt		8160	HACH			
NMC	NMC250821:SR:WB:	Sample-Routine	08/21/2025	08:23	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Nitrogen, mixed forms	as N		197.74	ug/l	Filtered, field	4500-N	APHA			
NMC	NMC250821:SR:WB:	Sample-Routine	08/21/2025	08:23	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Phosphorus, mixed forms	as P		10.91	ug/l	Filtered, field	4500-P	APHA			
